time,ax,ay,az,atotal
0.01163792610168457,-0.08,0.05,0.35,0.36
0.01203608512878418,-0.01,0.1,0.72,0.72
0.02766108512878418,-0.03,0.0,0.74,0.74
0.030729055404663086,-0.06,-0.04,0.44,0.44
0.040917158126831055,-0.02,-0.03,0.03,0.04
0.050566911697387695,-0.02,-0.01,-0.2,0.2
0.06084799766540527,-0.04,-0.01,-0.16,0.16
0.07775998115539551,-0.12,-0.02,0.01,0.12
0.08077096939086914,-0.14,-0.04,0.12,0.18
0.09083795547485352,-0.06,-0.04,0.14,0.15
0.10073304176330566,-0.03,-0.09,0.1,0.13
0.1109011173248291,0.02,-0.07,0.04,0.08
0.12894988059997559,-0.03,-0.07,0.01,0.07
0.13072896003723145,-0.06,-0.04,0.07,0.1
0.14092302322387695,-0.02,-0.02,0.11,0.11
0.1507420539855957,-0.04,-0.03,0.12,0.13
0.1609508991241455,-0.04,-0.03,0.13,0.13
0.17989611625671387,-0.04,-0.05,0.12,0.13
0.18060803413391113,-0.04,-0.05,0.14,0.15
0.1908729076385498,-0.06,-0.06,0.14,0.16
0.20086407661437988,-0.04,-0.03,0.13,0.13
0.21107101440429688,0.04,-0.05,0.07,0.09
0.23263287544250488,0.06,-0.1,-0.09,0.14
0.23302698135375977,0.04,-0.13,-0.16,0.21
0.24099206924438477,0.1,-0.21,0.02,0.23
0.2508840560913086,0.26,-0.3,0.22,0.45
0.26113009452819824,0.25,-0.26,0.42,0.55
0.28055787086486816,0.13,-0.25,0.58,0.64
0.2809889316558838,0.03,-0.21,0.64,0.67
0.29093384742736816,-0.03,-0.09,0.54,0.54
0.3010880947113037,0.03,0.03,0.34,0.34
0.3110358715057373,0.13,0.04,0.13,0.18
0.3321859836578369,0.26,-0.01,0.03,0.26
0.33260607719421387,0.31,0.01,0.08,0.32
0.34099411964416504,0.31,0.02,0.13,0.33
0.3510620594024658,0.26,0.04,0.2,0.33
0.3612210750579834,0.18,0.06,0.21,0.28
0.3820230960845947,0.09,0.0,0.14,0.16
0.3824610710144043,0.06,-0.05,0.02,0.08
0.3910250663757324,0.05,-0.14,-0.07,0.16
0.40116190910339355,0.05,-0.17,-0.06,0.18
0.41112208366394043,0.07,-0.19,0.05,0.2
0.43224501609802246,0.11,-0.16,0.18,0.26
0.43266892433166504,0.15,-0.13,0.32,0.37
0.4409940242767334,0.12,-0.13,0.45,0.48
0.4511849880218506,0.19,-0.1,0.38,0.43
0.46113085746765137,0.19,-0.04,0.23,0.3
0.4824521541595459,0.12,-0.07,0.02,0.14
0.4828829765319824,0.2,-0.11,-0.15,0.27
0.49114298820495605,0.14,-0.19,-0.13,0.26
0.5013768672943115,0.07,-0.31,0.04,0.32
0.5110838413238525,0.12,-0.31,0.19,0.38
0.5323379039764404,0.15,-0.27,0.27,0.41
