time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007000,0.0708,0.1006,0.1884,0.225
0.008000,0.0306,0.1498,0.1543,0.217
0.008000,0.0336,0.1059,0.0920,0.144
0.008000,-0.0060,0.0624,0.0635,0.089
0.014000,-0.0620,0.0691,0.1278,0.158
0.018000,-0.0345,0.0663,0.1203,0.142
0.026000,0.0263,0.0493,0.0344,0.066
0.029000,0.0914,0.0181,0.0154,0.094
0.035000,-0.0245,-0.0390,-0.0747,0.088
0.039000,-0.0562,-0.0480,-0.1096,0.132
0.045000,-0.0684,0.0118,-0.1158,0.135
0.050000,-0.0972,-0.0428,0.0727,0.129
0.054000,-0.1494,-0.0614,0.1437,0.216
0.068000,-0.0824,-0.0798,0.1624,0.199
0.070000,0.0557,-0.0790,0.0082,0.097
0.070000,0.1339,-0.0807,-0.0445,0.163
0.076000,0.0815,-0.1109,-0.0825,0.160
0.080000,-0.0268,-0.1148,-0.1108,0.162
0.085000,-0.1932,-0.0260,-0.2410,0.310
0.092000,-0.2846,0.0050,-0.3090,0.420
0.106000,-0.2661,0.0215,-0.4603,0.532
0.107000,-0.5140,0.1092,-0.7327,0.902
0.107000,-0.6228,0.1082,-0.7742,1.000
0.111000,-0.4726,0.0692,-0.5604,0.736
0.116000,-0.1793,-0.0311,-0.2474,0.307
0.121000,0.1428,-0.1283,-0.0351,0.195
0.134000,0.2585,-0.1036,0.1329,0.309
0.135000,0.1934,-0.0435,0.2191,0.295
0.136000,0.0200,-0.0029,0.2765,0.277
0.151000,-0.1732,0.0611,0.3128,0.363
0.152000,-0.2535,0.1436,0.2592,0.390
0.152000,-0.2217,0.1329,0.3182,0.410
0.156000,-0.1643,0.1127,0.2680,0.334
0.167000,-0.1386,0.1188,0.2306,0.294
0.168000,-0.1107,0.1060,0.1655,0.226
0.171000,-0.0593,0.0599,0.0942,0.126
0.183000,-0.0487,0.0190,0.0119,0.054
0.183000,-0.0787,0.0165,-0.0485,0.094
0.187000,-0.1180,-0.0145,-0.1443,0.187
0.191000,-0.1406,-0.0287,-0.2044,0.250
0.232000,-0.1275,-0.0569,-0.2217,0.262
0.233000,-0.1263,-0.0636,-0.1492,0.206
0.233000,-0.1324,-0.0702,-0.1060,0.184
0.234000,-0.2028,-0.0506,-0.0586,0.217
0.234000,-0.2108,-0.0645,0.0666,0.230
0.235000,-0.1976,-0.0972,0.1625,0.274
0.235000,-0.2251,-0.0821,0.3079,0.390
0.236000,-0.2455,-0.1384,0.3528,0.452
0.237000,-0.2491,-0.1015,0.4359,0.512
0.251000,-0.3002,-0.0673,0.4455,0.541
0.252000,-0.3107,-0.0619,0.4513,0.551
0.252000,-0.3332,-0.0874,0.4580,0.573
0.257000,-0.3010,-0.1245,0.3942,0.511
0.270000,-0.2406,-0.1281,0.2175,0.349
0.271000,-0.2138,-0.1150,0.1046,0.264
0.272000,-0.2275,-0.1637,0.0736,0.290
0.285000,-0.2312,-0.1551,-0.0047,0.278
0.285000,-0.2511,-0.1157,-0.0848,0.289
0.288000,-0.3324,-0.1003,-0.1026,0.362
0.304000,-0.3961,-0.1517,-0.1448,0.448
0.304000,-0.4781,-0.1218,-0.1559,0.517
0.305000,-0.5428,-0.1564,-0.2051,0.601
0.322000,-0.5784,-0.1812,-0.2187,0.644
0.322000,-0.6186,-0.2295,-0.2444,0.704
0.323000,-0.6158,-0.2916,-0.2516,0.726
0.323000,-0.5654,-0.3010,-0.2283,0.680
0.355000,-0.6152,-0.3128,-0.2417,0.731
0.356000,-0.6575,-0.3458,-0.2249,0.776
0.356000,-0.6972,-0.3025,-0.1850,0.782
0.356000,-0.6701,-0.3095,-0.1319,0.750
0.357000,-0.6433,-0.3450,-0.0918,0.736
0.357000,-0.6260,-0.3041,-0.1001,0.703
0.359000,-0.6800,-0.3325,-0.0829,0.761
0.363000,-0.6573,-0.3370,-0.0665,0.742
0.368000,-0.6915,-0.3604,-0.0770,0.784
0.373000,-0.7515,-0.3695,-0.0216,0.838
0.378000,-0.8251,-0.3832,0.0565,0.911
0.385000,-0.8457,-0.4015,0.1808,0.954
0.390000,-0.8091,-0.5053,0.2633,0.990
0.394000,-0.7966,-0.5535,0.4093,1.053
0.399000,-0.7937,-0.5395,0.5827,1.123
0.404000,-0.7954,-0.5209,0.7103,1.187
0.414000,-0.7973,-0.4977,0.8356,1.258
0.415000,-0.7661,-0.4414,0.8971,1.260
0.419000,-0.6974,-0.4092,0.9548,1.251
0.423000,-0.6555,-0.3037,1.0133,1.244
0.439000,-0.6283,-0.1895,0.9728,1.173
0.440000,-0.6677,-0.0715,1.0242,1.225
0.440000,-0.7398,0.0241,1.1172,1.340
0.444000,-0.7804,0.1570,1.1374,1.388
0.449000,-0.8186,0.2579,1.1614,1.444
0.454000,-0.8090,0.3081,1.0968,1.397
